action_name,class,method,result_name,result_type,result_value
"viewFileUpload","admin","viewFileUpload","success","tiles","view-File-Upload"
"viewFileUpload","lab","viewFileUpload","success","tiles","view-File-Upload"
"userImage","admin","fileUpload","success","tiles","SuccessUserImage"
"userImage","admin","fileUpload","input","tiles","UserImage.jsp"
"userImage","admin","fileUpload","success","tiles","SuccessUserImage"
"userImage","admin","fileUpload","input","tiles","UserImage.jsp"
"userImageForPatient","admin","fileUpload","success","tiles","SuccessUserImage"
"userImageForPatient","admin","fileUpload","error","tiles","common-errors"
"userImageForPatient","admin","fileUpload","input","tiles","UserImage.jsp"
"userImageForPatient1","admin","fileUpload1","success","tiles","SuccessUserImage"
"userImageForPatient1","admin","fileUpload1","error","tiles","common-errors"
"userImageForPatient1","admin","fileUpload1","input","tiles","UserImage.jsp"
"userImageForPatient2","admin","fileUpload2","success","tiles","SuccessUserImage"
"userImageForPatient2","admin","fileUpload2","error","tiles","common-errors"
"userImageForPatient2","admin","fileUpload2","input","tiles","UserImage.jsp"
"userImageForPatient3","admin","fileUpload3","success","tiles","SuccessUserImage"
"userImageForPatient3","admin","fileUpload3","error","tiles","common-errors"
"userImageForPatient3","admin","fileUpload3","input","tiles","UserImage.jsp"
"userImageForPatient3one","admin","fileUpload3one","success","tiles","SuccessUserImage"
"userImageForPatient3one","admin","fileUpload3one","error","tiles","common-errors"
"userImageForPatient3one","admin","fileUpload3one","input","tiles","UserImage.jsp"
"userImageForDoc","admin","fileUploadDoc","success","tiles","SuccessUserImage"
"userImageForDoc","admin","fileUploadDoc","input","tiles","UserImage.jsp"
"checkPatientSearchDetails","admin","confirmSearchPatientlab","success","tiles","front-patient-search-details"
"checkPatientSearchDetailslab","admin","confirmSearchPatientlab","success","tiles","front-patient-search-detailslab"
"checkPatientSearchDetailslabone","admin","confirmSearchPatientlab","success","tiles","front-patient-search-detailslabone"
"checkPatientSearchDetails1","admin","confirmSearchPatient1","success","tiles","front-otherspatient-search-details"
"checkDocSearchDetails","admin","checkDocSearchDetails","success","tiles","front-doc-search-details"
"checkDocSearchDetails1","admin","checkDocSearchDetails1","success","tiles","front-doc-search-details1"
"checkGivenNFID","admin","checkGivenNFID","","",""
"checkPat","admin","checkPat","","",""
"checkOtherPat","admin","checkOtherPat","","",""
"checkPatientSearchDetailsForView","admin","confirmSearchPatient","success","tiles","view-File-Upload"
"getFilesFromNF","admin","getFilesFromNF","success","tiles","get-File-fromNF"
"sendLabReport","lab","SendLabReportAction","success","tiles","shareLabReport"
"sendLabReportqr","lab","SendLabReportActionqr","success","tiles","shareLabReportqr"
"getPrescriptionUpload","admin","getPrescriptionUpload","success","tiles","prescriptionupload"
"getConsultantsTiming","admin","getConsultantsTiming","success","tiles","appointmentslot"
"consultanttimeUpdate","admin","consultanttimeUpdate","success","tiles","slotTime"
"consultanttimeMaster","admin","consultanttimeMaster","success","tiles","slotTimemaster"
"consultanttimeCW","admin","consultanttimeCW","success","tiles","slotTimecw"
"consultanttimeCW","admin","consultanttimeCW","success","tiles","slotTimecw"
"updateconsultTimings","admin","updateconsultTimings","success","tiles","slotTimemasterconfirm"
"updateconsultTimingConfirm","admin","updateconsultTimingConfirm","success","tiles","appSucc"
"updateconsultTimingCW","admin","updateconsultTimingCW","success","tiles","slotTimecwconfirm"
"updateconsultTimingCW","admin","updateconsultTimingCW","error","tiles","apntreqchange"
"addconsultTimings","admin","addconsultTimings","success","tiles","slotMasterCon"
"consultTimingMasterConfirm","admin","consultTimingMasterConfirm","success","tiles","appSucc"
"newAppointment","admin","newAppointment","success","tiles","newappointment"
"newAppointmentaction","admin","newAppointmentaction","success","tiles","appSucc"
"consultShow","user","consultDisplay","success","tiles","show-consultant"
"departmentShow","user","departmentShow","success","tiles","show-department"
"faq","admin","faq","success","tiles","faq-asked"
"masters","admin","masters","success","tiles","masters"
"master1","admin","master1","success","tiles","masters1"
"master2","admin","master2","success","tiles","masters2"
"master3","admin","master3","success","tiles","masters3"
"master4","admin","master4","success","tiles","masters4"
"master5","admin","master5","success","tiles","masters5"
"master6","admin","master6","success","tiles","masters6"
"master7","admin","master7","success","tiles","masters7"
"master8","admin","master8","success","tiles","masters8"
"master9","admin","master9","success","tiles","masters9"
"master10","admin","master10","success","tiles","masters10"
"master11","admin","master11","success","tiles","masters11"
"appointments","admin","appointments","success","tiles","appointments"
"appointments1","admin","appointments1","success","tiles","appointments1"
"appointments2","admin","appointments2","success","tiles","appointments2"
"appointments3","admin","appointments3","success","tiles","appointments3"
"appointments4","admin","appointments4","success","tiles","appointments4"
"appointments5","admin","appointments5","success","tiles","appointments5"
"appointments6","admin","appointments6","success","tiles","appointments6"
"appointments7","admin","appointments7","success","tiles","appointments7"
"appointments8","admin","appointments8","success","tiles","appointments8"
"appointments9","admin","appointments9","success","tiles","appointments9"
"news","admin","news","success","tiles","news"
"news1","admin","news1","success","tiles","news1"
"news2","admin","news2","success","tiles","news2"
"emergency","admin","emergencys","success","tiles","emergency"
"emergency1","admin","emergency1","success","tiles","emergency1"
"emergency2","admin","emergency2","success","tiles","emergency2"
"medical","admin","medical","success","tiles","medical"
