action_name,class,method,result_name,result_type,result_value
"billingApproval","admin","billingApproval","success","tiles","billingApproval"
"billingApproval1","admin","billingApproval1","success","tiles","billingApproval1"
"getCancelReport","admin","billingApproval","success","tiles","billingCancel"
"approvalDetails","admin","approvalDetails","success","tiles","approvalDetails"
"approvalDetailsone","admin","approvalDetailsone","success","tiles","approvalDetails"
"approvalDetailstwo","admin","approvalDetailstwo","success","tiles","approvalDetailstwo"
"approvalForPayment","admin","approvalForPayment","success","tiles","approvalForPayment"
"cancelPayment","admin","cancelPayment","success","redirect","billingApproval"
"cancelPayment1","admin","cancelPayment1","success","redirect","billingApproval1"
"cancelLabReport","lab","LabCancelReport","success","tiles","labCancelReport"
"emergency4","admin","emergency4","success","tiles","emergency4"
"upadatePaymentInfo","admin","getRecepit","success","tiles","commonRecepit"
"upadatePaymentInfoone","admin","getRecepitone","success","tiles","commonRecepittwo"
"upadatePaymentInfotwo","admin","getRecepittwo","success","tiles","commonRecepittwo"
"upadatePaymentInfooneop","lab","getRecepitoneop","success","tiles","commonRecepitop"
"showCollectionReport","admin","getCollectionReport","success","tiles","show-collection-Report1"
"upadateLabPaymentIP","lab","upadateLabPaymentIP","success","tiles","commonLabRecepitIP2"
"showCollectionReport","admin","getCollectionReporttime","success","tiles","show-collection-Report1"
"getrackDetails","pharmacy","getrackDetails","success","tiles","getrackDetails"
"addrack","pharmacy","addrack","success","tiles","getrackDetails"
"showCollectionReportone","lab","showCollectionReport","success","tiles","show-collection-Report"
"getDueReport","admin","getDueReport","success","tiles","getDueReport"
"getRefundReport","admin","getRefundReport","success","tiles","getRefundReport"
"getLabRefundReport","lab","getLabRefundReport","success","tiles","getLabRefundReport"
"updateProductEntryedit","pharmacy","updateProductEntryedit","success","dispatcher","/Pharmacy/SaleComponentDetailsedit.jsp"
"getDueAprrovalDetails","admin","getDueAprrovalDetails","success","tiles","getDueAprrovalDetails"
"upadateDueInfo","admin","upadateDueInfo","success","tiles","commonRecepitDue"
"getRefundByInv","admin","getRefundByInv","success","tiles","getRefundByInv"
"getRefundByInv","admin","getRefundByInv","error","dispatcher","/error.jsp"
"getRefundDetails","admin","getRefundDetails","success","tiles","getRefundDetails"
"getRefundDetails","admin","getRefundDetails","error","dispatcher","/error.jsp"
"refundApproval","admin","refundApproval","success","tiles","refundApproval"
"getCategory","lab","getCategory","success","tiles","getCategory"
"addCategory","lab","addCategory","success","tiles","getCategory"
"getUpdatableCategoryObject","lab","getUpdatableCategoryObject","success","tiles","getUpdatableCategoryObject"
"updateCategory","lab","updateCategory","success","tiles","getCategory"
"deleteCategory","lab","deleteCategory","success","tiles","getCategory"
"getSubCategory","lab","getSubCategory","success","tiles","getSubCategory"
"addSubcategory","lab","addSubcategory","success","tiles","getSubCategory"
"getUpdatableSubcategoryObject","lab","getUpdatableSubcategoryObject","success","tiles","getUpdatableSubcategoryObject"
"updateSubcategory","lab","updateSubcategory","success","tiles","getSubCategory"
"deleteSubcategory","lab","deleteSubcategory","success","tiles","getSubCategory"
"getComponent","lab","getComponent","success","tiles","getComponent"
"addComponent","lab","addComponent","success","tiles","getComponent"
"getUpdatableComponentObject","lab","getUpdatableComponentObject","success","tiles","getUpdatableComponentObject"
"updateComponent","lab","updateComponent","success","tiles","getComponent"
"deleteComponent","lab","deleteComponent","success","tiles","getComponent"
"getLabLog","lab","getLabLog","success","tiles","getLabLog"
"getSubcategoryByCat","lab","getSubcategoryByCat","","",""
"requisitionInput","lab","requisitionInput","success","tiles","requisitionInput"
"patientcollection","lab","getpatientCollectionReport","success","tiles","patientcollectionone"
"patientcollectionone","lab","getpatientCollectionReport","success","tiles","patientcollection"
"findPatientIdExist","lab","findPatientIdExist","","",""
"requisitionOrder","lab","getRequisitionOrder","success","tiles","requisitionOrder"
"requisitionOrder","lab","getRequisitionOrder","expired","tiles","nfid-expired-requisition-Input"
"requisitionOrder","lab","getRequisitionOrder","error","tiles","requisitionInput"
"requisitionOrderlab","lab","getRequisitionOrder","success","tiles","requisitionOrderlab"
"requisitionOrderlab","lab","getRequisitionOrder","expired","tiles","nfid-expired-requisition-Input"
"requisitionOrderlab","lab","getRequisitionOrder","error","tiles","requisitionInput"
"payRequisitionBill","lab","payRequisitionOrder","success","redirect","requisitionInput"
"payRequisitionBill","lab","payRequisitionOrder","success","tiles","requisitionSucc"
"labBillingApproval","lab","labBillingApprovallab","success","tiles","labBillingApproval"
"cancelPayment","lab","cancelPayment","success","tiles","labBillingApproval"
"labApprovalDetails","lab","labApprovalDetails","success","tiles","labApprovalDetails"
"labApprovalDetailsdict","lab","labApprovalDetailsdict","success","tiles","labApprovalDetails2"
"labApprovalDetails1","lab","labApprovalDetails1","success","tiles","labApprovalDetails1"
"upadateLabPayment","lab","upadateLabPayment","success","tiles","commonLabRecepit"
"upadateLabPaymentopdict","lab","upadateLabPaymentopdict","success","tiles","commonLabRecepitlab2"
"upadateLabPaymentop","lab","upadateLabPaymentop","success","tiles","commonLabRecepitlab"
"upadateLabPaymentlab","lab","upadateLabPaymentlab","success","tiles","commonLabRecepitlab1"
"deleteCollectionRecord","lab","deleteCollectionRecord","success","tiles","deleteCollectionRecord"
"upadateLabPaymentbills","lab","upadateLabPaymentbills","success","tiles","commonLabRecepitop"
"getLabCollectionReport","lab","getLabCollectionReport","success","tiles","show-lab-collection-Report"
"getLabCollectiondoctorReport","lab","getLabCollectiondoctorReport","success","tiles","show-lab-collection-doctorReport"
"getLabRefundByInv","lab","getLabRefundByInv","success","tiles","getLabRefundByInv"
"getLabRefundDetails","lab","getLabRefundDetails","success","tiles","getLabRefundDetails"
"labRefundApproval","lab","labRefundApproval","success","tiles","labRefundApproval"
"labEntryQueue","lab","labEntryQueue","success","tiles","labEntryQueue"
"labEntryQueuedirect","lab","labEntryQueuedirect","success","tiles","labEntryQueuedirect"
"labEntryQueueWithDate","lab","labEntryQueueWithDate","success","tiles","labEntryQueue"
"getlabEntry","lab","getlabEntry","success","tiles","getlabEntry"
"getlabEntrydirect","lab","getlabEntry","success","tiles","getlabEntrydirect"
"UserLabIdExist","lab","isUserLabIdExist","","",""
"labEntrySaveAction","lab","labResultSave","save","tiles","getlabEntry"
"labEntrySaveAction","lab","labResultSave","success","tiles","labEntryApproveSuccess"
"labEntrySaveAction","lab","labResultSave","success","tiles","labReport"
"labEntrySaveAction1","lab","labResultSave1","success","tiles","labReportDraft"
"getOpXrayPortable","admin","getOpXrayPortable","success","tiles","xray-port-component"
"AddOPSplComp","admin","AddOPSplComp","X-rayPortable","tiles","xray-port-component"
"AddOPSplComp","admin","AddOPSplComp","X-rayNormal","tiles","xray-norml-component"
"getUpdateOpSplComponent","admin","getUpdateOpComponent","success","tiles","edit-spl-component"
"updateOPSepComponent","admin","updateOPSepComponent","X-rayPortable","tiles","xray-port-component"
"updateOPSepComponent","admin","updateOPSepComponent","X-rayNormal","tiles","xray-norml-component"
"deleteOpComponent","admin","deleteOpComponent","X-rayPortable","tiles","xray-port-component"
"deleteOpComponent","admin","deleteOpComponent","X-rayNormal","tiles","xray-norml-component"
"getUpdateOpComponent","admin","getUpdateOpComponent","success","tiles","edit-op-component"
"updateOPComponent","admin","updateOPComponent","X-rayPortable","tiles","xray-port-component"
"updateOPComponent","admin","updateOPComponent","X-rayNormal","tiles","xray-norml-component"
"reActivateSpecial","admin","reActivateSpecial","X-rayPortable","tiles","xray-port-component"
"reActivateSpecial","admin","reActivateSpecial","X-rayNormal","tiles","xray-norml-component"
"getOpXrayNormal","admin","getOpXrayNormal","success","tiles","xray-norml-component"
"AddOPSplComp","admin","AddOPSplComp","X-rayPortable","tiles","xray-port-component"
"AddOPSplComp","admin","AddOPSplComp","X-rayNormal","tiles","xray-norml-component"
"getUpdateOpSplComponent","admin","getUpdateOpComponent","success","tiles","edit-spl-component"
"getUpdateOpComponent","admin","getUpdateOpComponent","success","tiles","edit-op-component"
"deleteOpComponent","admin","deleteOpComponent","X-rayPortable","tiles","xray-port-component"
"deleteOpComponent","admin","deleteOpComponent","X-rayNormal","tiles","xray-norml-component"
"reActivateSpecial","admin","reActivateSpecial","X-rayPortable","tiles","xray-port-component"
"reActivateSpecial","admin","reActivateSpecial","X-rayNormal","tiles","xray-norml-component"
"updateOPSepComponent","admin","updateOPSepComponent","X-rayPortable","tiles","xray-port-component"
"updateOPSepComponent","admin","updateOPSepComponent","X-rayNormal","tiles","xray-norml-component"
"getInvestigations","lab","getInvestigations","success","tiles","op-front-investigations"
"getInvestigations","lab","getInvestigations","expired","tiles","nfid-expired-requisition-Input"
"getInvestigationsone","lab","getInvestigationsone","success","tiles","op-front-investigationsone"
"getInvestigationsonedirect","lab","getInvestigationsone","success","tiles","op-front-investigationsonedirect"
"Opdirectbillingapproval","admin","Opdirectbilling","success","tiles","Opdirectbillingapproval"
"getInvestigationDetails","lab","getInvestigationDetails","","",""
"getInvestigationAmountDetailsdirect","lab","getInvestigationAmountDetailsdirect","","",""
"getInvestigationDetailsdirect","lab","getInvestigationDetailsdirect","","",""
"getInvestigationAmountDetails","lab","getInvestigationAmountDetails","","",""
"addOpBillingDetails","lab","addOpBillingDetails","success","tiles","op-front-investigations"
"addOpBillingDetails1op","lab","addOpBillingDetails1","success","tiles","op-front-investigationsop"
"addOpBillingDetails1","lab","addOpBillingDetails1","success","tiles","op-front-investigations"
"deleteOpBillingDetails","lab","deleteOpBillingDetails","success","tiles","op-front-investigations"
"addOpbillingInvoiceConfirm","lab","addOpbillingInvoiceConfirm","success","tiles","requisitionInputxray"
"addOpbillingInvoiceConfirmdirect","lab","addOpbillingInvoiceConfirmdirect","success","tiles","requisitionInputOne"
"addOpbillingInvoiceConfirmop","lab","labBillingApproval","success","tiles","requisitionInputop"
"labApprovedReport","lab","getLabApprovedReport","success","tiles","labApprovedReport"
"labReportInput","lab","labReportQueue","success","tiles","labReportInput"
"labReportdoc","lab","getLabResultByDatedoc","success","tiles","labReportdoc"
"getLabResultByDate","lab","getLabResultByDate","success","tiles","labReportInput"
"getLabResultReportbyID","lab","getLabResultReportbyID","success","tiles","labReportDraft"
"labEntryDraftQueue","lab","labEntryQueue","success","tiles","labEntryDraftQueue"
"labEntryDraftQueueWithDate","lab","labEntryQueueWithDate","success","tiles","labEntryDraftQueue"
"IpRegistrationSearch","ip","IpRegistrationSearch","success","tiles","show-appoint-ip"
"IpRegistration","ip","IpRegistration","success","tiles","ip-patient-register"
"IpRegistration","ip","execute","success","tiles","ip-patient-register"
"createIPAdmission","ip","createIPAdmission","success","tiles","ip-patient-register-success"
"createIPAdmission","ip","createIPAdmission","error","tiles","ip-patient-error"
"getReferralDoctor","ip","getReferralDoctor","","",""
"IpEstimation","ip","IpEstimation","success","tiles","ip-estimate-billing"
"paymentAdviceDetails","ip","paymentAdviceDetails","success","tiles","ip-register-advice"
"BillingPaymentAdvice","ip","BillingPaymentAdvice","success","tiles","ip-register-billing"
"inPatientList","ip","getInnPatientListSummary","success","tiles","inPatientSummary"
"getIPBillingCategory","ip","IPBillingCategory","success","tiles","ip-billing-category"
"addIPbillingcategory","ip","addIPbillingcategory","success","tiles","ip-billing-category"
"getUpdateIpCategory","ip","getUpdateIpCategory","success","tiles","edit-billing-category"
"updateIpCategory","ip","updateIpCategory","success","tiles","ip-billing-category"
"deleteIpCategory","ip","deleteIpCategory","success","tiles","ip-billing-category"
"activateIpCategory","ip","activateIpCategory","success","tiles","ip-billing-category"
"getIPBillingComponent","ip","getIPBillingComponent","success","tiles","ip-billing-component"
"addipbillingcomponent","ip","addipbillingcomponent","success","tiles","ip-billing-component"
"getUpdateIpComponent","ip","getUpdateIpComponent","success","tiles","edit-billing-component"
"updateIpComponent","ip","updateIpComponent","success","tiles","ip-billing-component"
"deleteIpComponent","ip","deleteIpComponent","success","tiles","ip-billing-component"
"activateIpComponent","ip","activateIpComponent","success","tiles","ip-billing-component"
"getRoomTypesList","ip","getRoomTypes","success","tiles","getRoomTypes"
"addRoomType","ip","addRoomType","success","redirect","getRoomTypesList"
"getUpdatableRoomType","ip","getUpdatableRoomType","success","tiles","getUpdatableRoomType"
"updateRoomType","ip","updateRoomType","success","redirect","getRoomTypesList"
"deleteRoomType","ip","deleteRoomType","success","redirect","getRoomTypesList"
"activateRoomType","ip","activateRoomType","success","redirect","getRoomTypesList"
"getRoomNumbers","ip","getRoomNumbers","success","tiles","getRoomNumbers"
"addRoomNumber","ip","addRoomNumber","success","redirect","getRoomNumbers"
"getUpdatableRoomNumber","ip","getUpdatableRoomNumber","success","tiles","getUpdatableRoomNumber"
"updateRoomNumber","ip","updateRoomNumber","success","redirect","getRoomNumbers"
"deleteRoomNumber","ip","deleteRoomNumber","success","redirect","getRoomNumbers"
"activateRoomNumber","ip","activateRoomNumber","success","redirect","getRoomNumbers"
"addReferralDoctor","ip","addReferralDoctor","success","tiles","refferalDoctor-master"
"getRoomStatusWard","ip","getRoomStatus","success","tiles","getRoomStatusward"
"updateRoomAvailability","ip","updateRoomAvailability","success","tiles","getRoomStatus"
"patientInfoDetails","ip","patientInfoDetails","success","tiles","ip-patient-info"
"getIPInvestigationAmountDetails","ip","getIPInvestigationAmountDetails","","",""
"getpatientSearchDetailsIp","ip","getpatientSearchDetailsIp","success","dispatcher","/IP/Ajax/PatientSearchDetails.jsp"
"getPatientDetails","ip","getPatientDetails","success","tiles","ip-patient-nfidsearch"
"getPatientDetails","ip","getPatientDetails","expired","tiles","nfid-expired-ip-Input"
"getPatientDetails","ip","getPatientDetails","search","tiles","ip-patient-search"
"getPatientDetails","ip","getPatientDetails","error","tiles","ip-patient-error"
"createAdmissionByNFID","ip","createAdmissionByNFID","success","tiles","ip-patient-registerbynfid"
"createAdmissionByNFID","ip","createAdmissionByNFID","error","tiles","ip-patient-error"
"findPatientIdExistforIP","ip","findPatientIdExist","","",""
"paymentAdviceDetailsCancel","ip","paymentAdviceDetailsCancel","success","tiles","ip-estimate-billing"
"AppoinmentDetailsforIP","ip","AppoinmentDetailsforIP","success","tiles","ip-appointment"
"cancellledAdmissions","ip","cancellledAdmissions","success","tiles","cancelledAdmissions"
"cancellledAdmissionsByDate","ip","cancellledAdmissionsByDate","success","tiles","cancelledAdmissions"
"patientAdmissionSheet","ip","getAdmissionSheet","success","tiles","ip-patient-admission"
"patientAdvanceRequest","ip","patientAdvanceRequest","success","tiles","patient-ip-advance"
"patientAdvanceRequestConfirm","ip","patientAdvanceRequestConfirm","success","tiles","ip-patient-info-succ"
"patientEditDetails","ip","patientEditDetails","success","tiles","ip-edit-patient"
"updateIPpatientInfo","ip","updateIPpatientInfo","success","tiles","ip-edit-success"
"EditPatientDetails","ip","EditPatientDetails","success","tiles","edit-patient-details"
"patientWardChange","ip","patientWardChange","success","tiles","patient-ward-change"
"updateRoomtypeDetails","ip","updateRoomtypeDetails","success","tiles","ip-ward-change"
"getInPatientListByWard","ip","getInPatientListByWard","success","tiles","ip-billing-details-ward"
"getInPatientListByConsultant","ip","getInPatientListByConsultant","success","tiles","ip-billing-details-consult"
"makePatientDischarge","ip","makePatientDischarge","success","tiles","ip-initiate-discharge"
"finalizeDischarge","ip","finalizeDischarge","success","tiles","ip-finalize-discharge"
"IpDischarge","ip","IpDischarge","success","tiles","ip-surgery-Discharge"
"cancelDischargeInitiation","ip","cancelDischargeInitiation","success","tiles","inPatientSummary"
"IpDischargeInputBydate","ip","IpDischargeInputBydate","success","tiles","ip-surgery-Discharge"
"patientInfoDetailsWithoutEdit","ip","patientInfoDetails","success","tiles","ip-patient-info-noedit"
"ipCancelSearch","","execute","success","tiles","patient-ip-cancel-input"
"getDetailForIPRefund","ip","getDetailForIPRefund","success","tiles","showLabDetailsIPByNF"
"CashierIPReject","ip","cashierLabReject","success","tiles","patient-ip-cancel-input"
"getInsuranceLTD","ip","getInsuranceLTD","success","tiles","getInsuranceLTD"
"addInsuranceLTD","ip","addInsuranceLTD","success","tiles","getInsuranceLTD"
"getUpdatableInsuranceLTD","ip","getUpdatableInsuranceLTD","success","tiles","getUpdatableInsuranceLTD"
"updateInsuranceLTD","ip","updateInsuranceLTD","success","tiles","getInsuranceLTD"
"deleteInsuranceLTD","ip","deleteInsuranceLTD","success","tiles","getInsuranceLTD"
"activateInsuranceLTD","ip","activateInsuranceLTD","success","tiles","getInsuranceLTD"
"getInsuranceDetails","ip","getInsuranceDetails","success","tiles","ip-patient-register"
"getIPInvestigationAmountDetailsIns","ip","getIPInvestigationAmountDetailsIns","","",""
"getIPInvestigationDetails","ip","getIPInvestigationDetails","","",""
"addIPBillingDetInd","ip","addIPBillingDetInd","success","dispatcher","/IP/Ajax/CategoryRequests.jsp"
"deleteIPbillingDetailsInd","ip","deleteIPbillingDetailsInd","success","dispatcher","/IP/Ajax/CategoryRequests.jsp"
"addIPbillingDetailsConfirm","ip","addIPbillingDetailsConfirm","success","tiles","ip-bill-input"
"customizedBill","ip","patientInfoDetailsDetailed","success","tiles","ip-patient-prov-cus"
"showIPPatientInfoProvision","ip","patientInfoDetails","success","tiles","ip-patient-prov"
"IPPatientProvisionDetails","ip","patientInfoDetailsDetailed","success","tiles","ip-provision-details"
"IPPatientProvisionDateDetails","ip","IPPatientProvisionDateDetails","success","tiles","ip-provision-date-details"
"insertNewRow","ip","insertNewRow","success","tiles","ip-patient-info"
"saveIPEditComponents","ip","saveIPEditComponents","success","tiles","ip-patient-info"
"deleteIPComponents","ip","deleteIPComponents","success","tiles","ip-patient-info"
"saveIPWardEditComponents","ip","saveIPWardEditComponents","success","tiles","ip-patient-info"
"deleteIPWardComponents","ip","deleteIPWardComponents","success","tiles","ip-patient-info"
"balanceRefundUpdate","ip","balanceRefundUpdate","success","tiles","ip-patient-info-succ"
"discountUpdate","ip","discountUpdate","success","tiles","ip-patient-info-succ"
"CashierIPApproval","ip","CashierIPApproval","success","tiles","ip-cashier-approval"
"CashierIPApprovalByDate","ip","CashierIPApprovalByDate","success","tiles","ip-cashier-approval"
"CashierIPApprovalDetails","ip","CashierIPApprovalDetails","success","tiles","ip-patient-info-detail"
"cashierApprovePayment","ip","cashierApprovePayment","success","tiles","ip-cashier-Receipt"
"getDischargeUnderProgressList","ip","getDischargeUnderProgressList","success","tiles","inPatientDischargeUnderProgress"
"getDischargeUnderProgressListsurg","ip","getDischargeUnderProgressListsurg","success","tiles","inPatientDischargeUnderProgress"
"patientDetailsForBasicDischarge","ip","patientDetailsForBasicDischarge","success","tiles","ip-patient-discharge-basic"
"saveBasicDischargeDetails","ip","saveBasicDischargeDetails","success","tiles","ip-patient-discharge-basic"
"opsaveBasicDischargeDetails","ip","opsaveBasicDischargeDetails","success","tiles","show-case-sheetop"
"opsaveBasicDischargeDetailsmale","ip","opsaveBasicDischargeDetailsmale","success","tiles","show-case-sheetmaledirect"
"opsaveBasicDischargeDetailsfemale","ip","opsaveBasicDischargeDetailsfemale","success","tiles","show-case-sheetfemaledirect"
"opsaveBasicDischargeDetailsdirect","ip","opsaveBasicDischargeDetailsdirect","success","tiles","show-case-sheetopdirect"
"opsaveBasicDischargeDetailsone","ip","opsaveBasicDischargeDetailsone","success","tiles","show-case-sheetopone"
"opsaveBasicDischargeDetailsonemale","ip","opsaveBasicDischargeDetailsonemale","success","tiles","opsaveBasicDischargeDetailsonemale"
"opsaveBasicDischargeDetailsonefemale","ip","opsaveBasicDischargeDetailsonefemale","success","tiles","opsaveBasicDischargeDetailsonefemale"
"opsaveBasicDischargeDetailsonedirect","ip","opsaveBasicDischargeDetailsonedirect","success","tiles","show-case-sheetoponedirect"
"addDrugForBasicDischarge","ip","addDrugForBasicDischarge","success","dispatcher","/IP/Billing/DischargeDrugs.jsp"
"opaddDrugForBasicDischarge","ip","opaddDrugForBasicDischarge","success","dispatcher","/IP/Billing/DischargeDrugs.jsp"
"deleteDrugForBasicDischarge","ip","deleteDrugForConsult","success","dispatcher","/IP/Billing/DischargeDrugs.jsp"
"IpBasicDischargeSummary","ip","IpBasicDischargeSummary","success","tiles","basic-ip-discharge-summary"
"inPatientInsuranceList","ip","getInnPatientInsuranceListSummary","success","tiles","inPatientInsuranceList"
"risePreAuthorization","ip","risePreAuthorization","success","tiles","inPatientInsuranceList"
"riseEnhancement","ip","riseEnhancement","success","tiles","inPatientInsuranceList"
"getApprovalQueue","ip","getApprovalQueue","success","tiles","getApprovalQueue"
"insuranceApprove","ip","insuranceApprove","success","tiles","getApprovalQueue"
"insuranceCancel","ip","insuranceCancel","success","tiles","getApprovalQueue"
"getClaimReport","ip","getClaimReport","success","tiles","getClaimReport"
"getInsuranceCancelReport","ip","getInsuranceCancelReport","success","tiles","getInsuranceCancelReport"
"updateInsurance","ip","updateInsurance","","",""
"requisitionInputforIP","lab","requisitionInputforIP","success","tiles","requisitionInputforIP"
"requisitionOrderforIP","lab","getRequisitionOrderforIP","success","tiles","requisitionOrderforIP"
"requisitionOrderforIP","lab","getRequisitionOrderforIP","expired","tiles","nfid-expired-requisition-Input"
"requisitionOrderforIP","lab","getRequisitionOrderforIP","error","tiles","requisitionInput"
"InvoicePrintDetails","ip","InvoicePrintDetails","appprint","tiles","show-print-app"
"InvoicePrintDetails","ip","InvoicePrintDetails","opbillprint","tiles","show-print-op"
"InvoicePrintDetails","ip","InvoicePrintDetails","labprint","tiles","show-print-lab"
"InvoicePrintDetails","ip","InvoicePrintDetails","ctscanprint","tiles","show-print-ct"
"InvoicePrintDetails","ip","InvoicePrintDetails","xrayprint","tiles","show-print-xray"
"InvoicePrintDetails","ip","InvoicePrintDetails","refundprint","tiles","show-print-xray"
"InvoicePrintDetails","ip","InvoicePrintDetails","success","tiles","show-print-op"
"InvoicePrintDetails","ip","InvoicePrintDetails","ipAdvprint","tiles","show-print-ip"
"getOPBillingCategory","admin","getOPBillingCategory","success","tiles","op-front-opbilling"
"getOPBillingCategory1","admin","getOPBillingCategory1","success","tiles","op-front-opbillingone"
"reActivateCategory","admin","reActivateCategory","success","tiles","op-front-opbilling"
"deleteOpCategory","admin","deleteOpCategory","success","tiles","op-front-opbilling"
"addopbillingcategory","admin","addopbillingcategory","success","tiles","op-front-opbilling"
"addopbillingcategory1","admin","addopbillingcategory1","success","tiles","op-front-opbillingone"
"getUpdateOpCategory","admin","getUpdateOpCategory","success","tiles","edit-op-category"
"updateOPCategory","admin","updateOPCategory","success","redirect","op-front-opbilling"
"requisitionInputOP","lab","requisitionInputOP","success","tiles","requisitionInputOP"
"requisitionInputOne","lab","requisitionInputOne","success","tiles","requisitionInputOne"
"requisitionInputOnedirect","lab","requisitionInputOne","success","tiles","requisitionInputOnedirect"
"requisitionInputOthers","lab","requisitionInputOne","success","tiles","requisitionInputOneother"
"OPdirectbilling","lab","requisitionInputOP","success","tiles","OPdirectbilling"
"getOpXrayPortable","admin","getOpXrayPortable","success","tiles","xray-port-component"
"AddOPSplComp","admin","AddOPSplComp","X-rayPortable","tiles","xray-port-component"
"AddOPSplComp","admin","AddOPSplComp","X-rayNormal","tiles","xray-norml-component"
"getUpdateOpSplComponent","admin","getUpdateOpComponent","success","tiles","edit-spl-component"
"updateOPSepComponent","admin","updateOPSepComponent","X-rayPortable","tiles","xray-port-component"
"updateOPSepComponent","admin","updateOPSepComponent","X-rayNormal","tiles","xray-norml-component"
"deleteOpComponent","admin","deleteOpComponent","X-rayPortable","tiles","xray-port-component"
"deleteOpComponent","admin","deleteOpComponent","X-rayNormal","tiles","xray-norml-component"
"getUpdateOpComponent","admin","getUpdateOpComponent","success","tiles","edit-op-component"
"updateOPComponent","admin","updateOPComponent","X-rayPortable","tiles","xray-port-component"
"updateOPComponent","admin","updateOPComponent","X-rayNormal","tiles","xray-norml-component"
"reActivateSpecial","admin","reActivateSpecial","X-rayPortable","tiles","xray-port-component"
"reActivateSpecial","admin","reActivateSpecial","X-rayNormal","tiles","xray-norml-component"
"getOpXrayNormal","admin","getOpXrayNormal","success","tiles","xray-norml-component"
"AddOPSplComp","admin","AddOPSplComp","X-rayPortable","tiles","xray-port-component"
"AddOPSplComp","admin","AddOPSplComp","X-rayNormal","tiles","xray-norml-component"
"getUpdateOpSplComponent","admin","getUpdateOpComponent","success","tiles","edit-spl-component"
"getUpdateOpComponent","admin","getUpdateOpComponent","success","tiles","edit-op-component"
"deleteOpComponent","admin","deleteOpComponent","X-rayPortable","tiles","xray-port-component"
"deleteOpComponent","admin","deleteOpComponent","X-rayNormal","tiles","xray-norml-component"
"reActivateSpecial","admin","reActivateSpecial","X-rayPortable","tiles","xray-port-component"
"reActivateSpecial","admin","reActivateSpecial","X-rayNormal","tiles","xray-norml-component"
"updateOPSepComponent","admin","updateOPSepComponent","X-rayPortable","tiles","xray-port-component"
"updateOPSepComponent","admin","updateOPSepComponent","X-rayNormal","tiles","xray-norml-component"
"OPBillingApproval","lab","labBillingApproval","success","tiles","OPBillingApproval"
"OPBillingApprovaldict","lab","labBillingApproval","success","tiles","OPBillingApprovaldict"
"OPBillingApproval1","lab","labBillingApproval","success","tiles","OPBillingApproval1"
"getIPCollectionReport","lab","getLabCollectionReport1","success","tiles","show-IP-collection-Report"
"getIPCollectionReport","lab","getLabCollectionReportip","success","tiles","show-IP-collection-Report"
"editOPPatientDetails","admin","editOPPatientDetails","success","tiles","editOPPatientDetails"
"updateOPPatientDetails","admin","updateOPPatientDetails","success","tiles","patdetails"
"updateOPPatientDetails","admin","updateOPPatientDetails","error","tiles","common-error"
"OPComponents","admin","OPComponents","success","tiles","op_compoents_ajax"
"OPComponentsdirect","admin","OPComponentsdirect","success","tiles","op_compoents_ajaxdirect"
"getOPBillingComponent","admin","getOPBillingComponent","success","dispatcher","/OPBilling/OPBillingComponent.jsp"
"getOPBillingComponentdirect","admin","getOPBillingComponentdirect","success","dispatcher","/OPBilling/OPdirectbillingcomponent.jsp"
"addopbillingcomponent","admin","addopbillingcomponent","success","tiles","op_compoents_ajax"
"addopbillingcomponentdirect","admin","addopbillingcomponentdirect","success","tiles","op_compoents_ajaxdirect"
"getUpdateOpComponent","admin","getUpdateOpComponent","success","tiles","edit-op-component"
"updateOPComponent","admin","updateOPComponent","success","redirect","OPComponents"
"updateOPComponent","admin","updateOPComponent","special","tiles","special-component"
"updateOPComponent","admin","updateOPComponent","generaltool","tiles","general-component"
"updateOPComponent","admin","updateOPComponent","OTCharges","tiles","ot-component"
"updateOPComponent","admin","updateOPComponent","DietCharges","tiles","diet-component"
"updateOPComponent","admin","updateOPComponent","Procedures","tiles","procedure-component"
"updateOPComponent","admin","updateOPComponent","Drugs","tiles","drug-component"
"updateOPComponent","admin","updateOPComponent","OtherItem","tiles","other-component"
"updateOPComponent","admin","updateOPComponent","ConsultantFees","tiles","op-consult-component"
"updateOPComponent","admin","updateOPComponent","CathlabConsumable","tiles","cathlab-component"
"updateOPComponent","admin","updateOPComponent","Consumable","tiles","consumable-component"
"updateOPComponent","admin","updateOPComponent","UltrasoundScan","tiles","ultra-component"
"updateOPComponent","admin","updateOPComponent","DopplerScan","tiles","doppler-component"
"updateOPComponent","admin","updateOPComponent","physiotherapy","tiles","physio-component"
"updateOPComponent","admin","updateOPComponent","CT-Scan","tiles","ct-component"
"updateOPComponent","admin","updateOPComponent","X-rayPortable","tiles","xray-port-component"
"updateOPComponent","admin","updateOPComponent","X-rayNormal","tiles","xray-norml-component"
"deleteOpComponentCommon","admin","deleteOpComponentCommon","success","tiles","op_compoents_ajax"
"reActivateOpComponentCommon","admin","reActivateOpComponentCommon","success","tiles","op_compoents_ajax"
"CashierDrugsDetailView","pharmacy","CashierDrugsDetailView","success","tiles","details-view"
"CashierDrugsDetailConsultantView","pharmacy","CashierDrugsDetailConsultantView","success","tiles","details-view"
"approveDrugBill","pharmacy","approveDrugBill","success","tiles","print-bill-ip"
"approveDrugBill","pharmacy","approveDrugBill","opsuccess","tiles","print-bill-op"
"getInventory","pharmacy","getInventory","success","tiles","inventory-report"
