action_name,class,method,result_name,result_type,result_value,resolved_jsp
"appointments3","admin","appointments3","success","tiles","appointments3","/HMS Android/Appointment3.jsp?main=8&amp;sub=0"
"appointments4","admin","appointments4","success","tiles","appointments4","/HMS Android/Appointment4.jsp?main=8&amp;sub=0"
"appointments5","admin","appointments5","success","tiles","appointments5","/HMS Android/Appointment5.jsp?main=8&amp;sub=0"
"appointments6","admin","appointments6","success","tiles","appointments6","/HMS Android/Appointment6.jsp?main=8&amp;sub=0"
"appointments7","admin","appointments7","success","tiles","appointments7","/HMS Android/Appointment7.jsp?main=8&amp;sub=0"
"appointments8","admin","appointments8","success","tiles","appointments8","/HMS Android/Appointment8.jsp?main=8&amp;sub=0"
"appointments9","admin","appointments9","success","tiles","appointments9","/HMS Android/Appointment9.jsp?main=8&amp;sub=0"
"news","admin","news","success","tiles","news","/HMS Android/News.jsp?main=8&amp;sub=0"
"news1","admin","news1","success","tiles","news1","/HMS Android/News1.jsp?main=8&amp;sub=0"
"news2","admin","news2","success","tiles","news2","/HMS Android/News2.jsp?main=8&amp;sub=0"
"emergency","admin","emergencys","success","tiles","emergency","/HMS Android/Emergencys.jsp?main=8&amp;sub=0"
"emergency1","admin","emergency1","success","tiles","emergency1","/HMS Android/Emergency1.jsp?main=8&amp;sub=0"
"emergency2","admin","emergency2","success","tiles","emergency2","/HMS Android/Emergency2.jsp?main=8&amp;sub=0"
"medical","admin","medical","success","tiles","medical","/HMS Android/Medical.jsp?main=8&amp;sub=0"
"medical1","admin","medical1","success","tiles","medical1","/HMS Android/Medical1.jsp?main=8&amp;sub=0"
"medical2","admin","medical2","success","tiles","medical2","/HMS Android/Medical2.jsp?main=8&amp;sub=0"
"medical3","admin","medical3","success","tiles","medical3","/HMS Android/Medical3.jsp?main=8&amp;sub=0"
"medical4","admin","medical4","success","tiles","medical4","/HMS Android/Medical4.jsp?main=8&amp;sub=0"
"medical5","admin","medical5","success","tiles","medical5","/HMS Android/Medical5.jsp?main=8&amp;sub=0"
"medical6","admin","medical6","success","tiles","medical6","/HMS Android/Medical6.jsp?main=8&amp;sub=0"
"administation","admin","administation","success","tiles","administation","/HMS Android/Administration.jsp?main=8&amp;sub=0"
"administation1","admin","administation1","success","tiles","administation1","/HMS Android/Administration1.jsp?main=8&amp;sub=0"
